year,race,population
2019,White,250520000
2019,Black,44080000
2019,Native American,4190000.0000000005
2019,Asian,19500000
2019,Pacific Islander,810000
2018,White,249960000
2018,Black,43730000
2018,Native American,4150000.0000000005
2018,Asian,19130000
2018,Pacific Islander,790000
2017,White,249270000
2017,Black,43370000
2017,Native American,4099999.9999999995
2017,Asian,18760000
2017,Pacific Islander,780000
2016,White,248410000
2016,Black,42970000
2016,Native American,4050000
2016,Asian,18280000
2016,Pacific Islander,770000
2015,White,247380000
2015,Black,42530000
2015,Native American,4000000
2015,Asian,17750000
2015,Pacific Islander,750000
2014,White,246350000
2014,Black,42090000
2014,Native American,3950000
2014,Asian,17200000
2014,Pacific Islander,740000
2013,White,245310000
2013,Black,41650000
2013,Native American,3900000
2013,Asian,16680000
2013,Pacific Islander,720000
